NEW CLASS SPREAD SHEET WITH CROSSVERSION MATCHING
"If you find errors on this sheet, plz put what it should be in the comments column. Don't edit the cell directly. Thx !"
,CLIENT,CLIENT,SERVER,SERVER,Comments
NAME,1.2.2,1.2.3_02,1.2.2,1.2.3_02
net.minecraft.src.AxisAlignedBB,cn,cn,dt,du,Axis aligned bounding box
net.minecraft.src.Block,nl,no,fy,ga,Base class and manager for block types
net.minecraft.src.block.BlockBloodStone,pw,pz,jf,ji,*
net.minecraft.src.block.BlockBookshelf,ef,eg,ga,gc,*
net.minecraft.src.block.BlockBreakable,fv,fx,ht,hw,Base class for glass and ice (not used directly)
net.minecraft.src.block.BlockButton,iv,ix,ap,ap,*
net.minecraft.src.block.BlockCactus,jb,jd,as,as,*
net.minecraft.src.block.BlockChest,c,c,c,c,*
net.minecraft.src.block.BlockClay,le,lh,dh,di,*
net.minecraft.src.block.BlockContainer,lc,lf,de,df,Base class for block that can have content (not used directly)
net.minecraft.src.block.BlockCrops,id,if,n,n,*
net.minecraft.src.block.BlockDirt,jc,je,at,at,*
net.minecraft.src.block.BlockDoor,gs,gu,jg,jj,net.minecraft.src.Block used for wooden door and iron door
net.minecraft.src.block.BlockFence,ga,gc,ia,id,*
net.minecraft.src.block.BlockFire,qc,qf,jo,jr,*
net.minecraft.src.block.BlockFlower,of,oi,hi,hk,*
net.minecraft.src.block.BlockFlowing,ix,iz,ar,ar,net.minecraft.src.Block used for flowing water and lava
net.minecraft.src.block.BlockFluids,ky,lb,cy,cz,Base class for fluids (not used directly)
net.minecraft.src.block.BlockFurnace,me,mh,ei,ek,*
net.minecraft.src.block.BlockGlass,dc,dd,es,eu,*
net.minecraft.src.block.BlockGrass,on,oq,hu,hx,*
net.minecraft.src.block.BlockGravel,hz,ib,k,k,*
net.minecraft.src.block.BlockIce,ie,ig,o,o,*
net.minecraft.src.block.BlockJukeBox,de,df,ew,ey,*
net.minecraft.src.block.BlockLadder,bz,bz,cz,da,*
net.minecraft.src.block.BlockLeaves,ki,kl,cd,ce,*
net.minecraft.src.block.BlockLeavesBase,ii,ik,r,r,Base class for leaves (not used directly). It seems to be separated out possibly as a base class for objects that change textures based on graphics settings (fancy/fast).
net.minecraft.src.block.BlockLever,pg,pj,ir,iu,*
net.minecraft.src.block.BlockLightStone,hh,hj,kd,kg,*
net.minecraft.src.block.BlockLog,nt,nw,go,gq,*
net.minecraft.src.block.BlockMinecartTrack,jj,jm,ba,bb,*
net.minecraft.src.block.BlockMobSpawner,br,br,cm,cn,*
net.minecraft.src.block.BlockMushroom,mm,mp,ex,ez,*
net.minecraft.src.block.BlockObsidian,cu,cv,el,en,*
net.minecraft.src.block.BlockOre,hw,hy,h,h,"net.minecraft.src.Block used for gold, iron, diamond and coal"
net.minecraft.src.block.BlockOreBlock,e,e,j,j,"net.minecraft.src.Block used for gold, diamond and iron blocks"
net.minecraft.src.block.BlockPortal,x,x,ai,ai,*
net.minecraft.src.block.BlockPressurePlate,ap,ap,bd,be,*
net.minecraft.src.block.BlockPumpkin,cv,cw,ek,em,*
net.minecraft.src.block.BlockRedstoneOre,an,an,bb,bc,*
net.minecraft.src.block.BlockRedstoneTorch,bo,bo,ck,cl,*
net.minecraft.src.block.BlockRedstoneWire,lp,ls,du,dv,*
net.minecraft.src.block.BlockReed,kv,ky,cs,ct,*
net.minecraft.src.block.BlockSand,du,dv,fr,ft,*
net.minecraft.src.block.BlockSapling,eh,ei,gd,gf,*
net.minecraft.src.block.BlockSign,nd,ng,ft,fv,net.minecraft.src.Block used for standing signs and wall signs
net.minecraft.src.block.BlockSlowSand,iq,is,ac,ac,*
net.minecraft.src.block.BlockSnow,fw,fy,hw,hz,*
net.minecraft.src.block.BlockSnowBlock,s,s,x,x,*
net.minecraft.src.block.BlockSoil,nv,ny,gt,gv,*
net.minecraft.src.block.BlockSponge,oy,pb,ii,il,*
net.minecraft.src.block.BlockStairs,lw,lz,eb,ec,*
net.minecraft.src.block.BlockStationary,io,iq,z,z,net.minecraft.src.Block used for stationary water and lava
net.minecraft.src.block.BlockStep,qe,qh,js,jv,net.minecraft.src.Block used for half step and double step
net.minecraft.src.block.BlockStone,cm,cm,dr,ds,*
net.minecraft.src.block.BlockTNT,v,v,ab,ab,*
net.minecraft.src.block.BlockTorch,nw,nz,gw,gy,*
net.minecraft.src.block.BlockWorkbench,db,dc,er,et,*
net.minecraft.src.canvas.CanvasCrashReport,or,ou,*,*,*
net.minecraft.src.canvas.CanvasIsomPreview,ah,ah,*,*,Canvas used for drawing the isometric preview
net.minecraft.src.canvas.CanvasMajongLogo,dm,dn,*,*,*
net.minecraft.src.canvas.CanvasMinecraftApplet,j,j,*,*,*
net.minecraft.src.packet.Packet8,*,cp,*,ed,*
net.minecraft.src.packet.Packet38,*,fr,*,ho,*
net.minecraft.src.packet.Packet9,*,jj,*,az,*
net.minecraft.src.gui.ChatLine,ly,mc,*,*,*
net.minecraft.src.world.chunk.Chunk,gx,gz,jp,js,net.minecraft.src.world.chunk.Chunk of blocks in the world (16x16x128 blocks)
net.minecraft.src.world.chunk.ChunkCache,cq,cr,ee,eg,Caches a bunch of chunks of the world
net.minecraft.src.world.chunk.ChunkCoordinates,ic,ie,ju,jx,*
net.minecraft.src.world.chunk.ChunkCoordIntPair,qh,qk,kc,kf,"Pair of integers used as index of chunk (x,z)."
net.minecraft.src.world.chunk.ChunkLoader,mp,ms,ff,fh,Implementation of chunk loader
net.minecraft.src.world.chunk.ChunkPosition,oi,ol,hn,hq,*
net.minecraft.src.world.chunk.ChunkProviderClient,nm,np,*,*,net.minecraft.src.world.chunk.Chunk provider which loads chunks from the server
net.minecraft.src.world.chunk.ChunkProviderGenerate,ps,pv,ja,jd,net.minecraft.src.world.chunk.Chunk provider which generates new chunks (used by other chunk providers)
net.minecraft.src.world.chunk.ChunkProviderHell,kf,ki,bx,by,*
net.minecraft.src.world.chunk.ChunkProviderIso,cs,ct,*,*,net.minecraft.src.world.chunk.Chunk provider for iso preview client
net.minecraft.src.world.chunk.ChunkProviderLoadOrGenerate,gp,gr,iw,iz,net.minecraft.src.world.chunk.Chunk provider which either loads chunks or generates them with net.minecraft.src.world.chunk.ChunkProviderGenerate
ChunkProviderServer,*,*,jl,jo,net.minecraft.src.world.chunk.Chunk provider which manages chunks on the server for all clients
net.minecraft.src.helpers.ClippingHelper,cb,cb,*,*,*
net.minecraft.src.helpers.ClippingHelperImplementation,n,n,*,*,*
net.minecraft.src.CodecMus,fh,fi,*,*,Audio codec for .mus files.
net.minecraft.src.colorizer.ColorizerFoliage,fq,fs,*,*,*
net.minecraft.src.colorizer.ColorizerGrass,et,eu,*,*,*
net.minecraft.src.CompressedStreamTools,ab,ab,ao,ao,"Provides function to read and write gzipped streams, also used to compress NBT compounds"
ConsoleLogFormatter,*,*,hs,hv,*
ConsoleLogManager,*,*,ge,gg,*
net.minecraft.src.crafting.CraftingInventoryCB,ax,ax,*,*,General callbacks for overlay crafting. onGUI_Closed and on_CraftMatrixChanged.
net.minecraft.src.crafting.CraftingInventoryPlayerCB,q,q,*,*,"Callbacks for the player inventory. (As a side note, methods here are made for a 9 slots matrix, not 4, must be a left over from a previous version before the workbenches)"
