NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
Class,Field,Name,Class,Field,Name,Name,Notes
net.minecraft.src.ScaledResolution,*,field_1369_c,*,*,*,scaledHeight,"*"
net.minecraft.src.ScaledResolution,*,field_1368_a,*,*,*,scaleFactor,"*"
net.minecraft.src.ScaledResolution,*,field_1367_b,*,*,*,scaledWidth,"*"
net.minecraft.src.NextTickListEntry,*,field_1366_c,*,*,*,zCoord,"Z position this tick is occuring at"
net.minecraft.src.NextTickListEntry,*,field_1365_d,*,*,*,blockID,"blockID of the scheduled tick (ensures when the tick occurs its still for this block)"
net.minecraft.src.NextTickListEntry,*,field_1364_e,*,*,*,scheduledTime,"Time this tick is scheduled to occur at"
net.minecraft.src.NextTickListEntry,*,field_1363_f,*,*,*,nextTickEntryID,"The id number for the next tick entry"
net.minecraft.src.NextTickListEntry,*,field_1362_g,*,*,*,tickEntryID,"The id of the tick entry"
net.minecraft.src.NextTickListEntry,*,field_1361_a,*,*,*,xCoord,"X position this tick is occuring at"
net.minecraft.src.NextTickListEntry,*,field_1360_b,*,*,*,yCoord,"Y position this tick is occuring at"
net.minecraft.src.Block,*,field_4049_be,*,*,*,lightStone,"*"
net.minecraft.src.GameSettings,*,field_1561_w,*,*,*,difficulty,"*"
net.minecraft.src.GameSettings,*,field_1560_x,*,*,*,thirdPersonView,"*"
net.minecraft.src.GameSettings,*,field_1563_u,*,*,*,mc,"*"
net.minecraft.src.GameSettings,*,field_1562_v,*,*,*,numberOfOptions,"I believe this is used to correctly line up the buttons in the menu."
net.minecraft.src.Block,*,field_4045_bg,*,*,*,pumpkinLantern,"The Jack-O-Lantern"
net.minecraft.src.GameSettings,*,field_1564_t,*,*,*,keyBindings,"*"
net.minecraft.src.Block,*,field_4047_bf,*,*,*,portal,"The purple teleport blocks inside the obsidian circle"
net.minecraft.src.world.WorldChunkManager,*,field_4198_a,*,*,*,temperature,"Temperature that has been loaded into the net.minecraft.src.world.WorldChunkManager"
net.minecraft.src.world.WorldChunkManager,*,field_4197_b,*,*,*,humidity,"How humid the area thats has been loaded"
net.minecraft.src.Block,*,field_447_aA,*,*,*,crops,"*"
net.minecraft.src.GameSettings,*,field_1565_s,*,*,*,keyBindSneak,"*"
net.minecraft.src.entity.EntityPlayer,*,field_778_b,*,*,*,inventory,"Inventory of the player"
net.minecraft.client.Minecraft,*,field_6297_D,*,*,*,mcDataDir,""
net.minecraft.client.Minecraft,*,field_6292_I,*,*,*,debug,"String that shows the debug information"
net.minecraft.client.Minecraft,*,field_6293_H,*,*,*,running,"Set to true to keep the game loop running. Set to false by shutdown() to allow the game loop to exit cleanly."
net.minecraft.client.Minecraft,*,field_6290_K,*,*,*,prevFrameTime,""
net.minecraft.client.Minecraft,*,field_6291_J,*,*,*,isTakingScreenshot,"Makes sure it doesn't keep taking screenshots when both buttons are down."
net.minecraft.client.Minecraft,*,field_6298_C,*,*,*,texturePackList,"The TexturePackLister used by this instance of net.minecraft.client.Minecraft..."
net.minecraft.client.Minecraft,*,field_6299_B,*,*,*,mouseHelper,"Mouse helper instance."
net.minecraft.src.Block,*,field_372_be,*,*,*,blockResistance,"Indicates the blocks resistance to explosions."
net.minecraft.src.Block,*,field_370_bf,*,*,*,minX,"minimum X for the block bounds (local coordinates)"
net.minecraft.src.Block,*,field_376_bc,*,*,*,blockID,"ID of the block."
net.minecraft.src.Block,*,field_374_bd,*,*,*,blockHardness,"Indicates how many hits it takes to break a block."
net.minecraft.src.Block,*,field_378_bb,*,*,*,blockIndexInTexture,"The index of the texture to be displayed for this block. May vary based on graphics settings. Mostly seems to come from terrain.png, and the index is 0-based (grass is 0)."
RenderPainting,*,field_199_d,*,*,*,rand,"RNG."
Render,*,field_191_a,*,*,*,renderManager,"*"
Render,*,field_195_d,*,*,*,unusedModelBiped,"*"
net.minecraft.src.packet.Packet6SpawnPosition,*,field_516_c,*,*,*,zPosition,"Z coordinate of spawn."
net.minecraft.src.packet.Packet3Chat,*,field_517_a,*,*,*,message,"The message being sent."
net.minecraft.src.packet.Packet6SpawnPosition,*,field_514_b,*,*,*,yPosition,"Y coordinate of spawn."
net.minecraft.src.packet.Packet6SpawnPosition,*,field_515_a,*,*,*,xPosition,"X coordinate of spawn."
net.minecraft.src.packet.Packet34EntityTeleport,*,field_512_d,*,*,*,zPosition,"Z position of the entity."
net.minecraft.src.packet.Packet34EntityTeleport,*,field_513_c,*,*,*,yPosition,"Y position of the entity."
net.minecraft.src.packet.Packet34EntityTeleport,*,field_510_f,*,*,*,pitch,"Pitch of the entity."
net.minecraft.src.packet.Packet34EntityTeleport,*,field_511_e,*,*,*,yaw,"Yaw of the entity."
net.minecraft.src.packet.Packet1Login,*,field_518_b,*,*,*,username,"The name of the user attempting to login."
net.minecraft.src.packet.Packet1Login,*,field_519_a,*,*,*,protocolVersion,"The protocol version in use. Current version is 2."
net.minecraft.src.gui.GuiConnectFailed,*,field_992_a,*,*,*,errorMessage,"The error message."
net.minecraft.src.gui.GuiConnectFailed,*,field_993_h,*,*,*,errorDetail,"The details about the error."
net.minecraft.src.gui.GuiMainMenu,*,field_990_i,*,*,*,logoEffects,"*"
net.minecraft.src.gui.GuiOptions,*,field_996_h,*,*,*,parentScreen,"A reference to the screen object that created this. Used for navigating between screens."
net.minecraft.src.gui.GuiUnused,*,field_997_a,*,*,*,message1,"Unused class. Would contain a message drawn to the center of the screen."
net.minecraft.src.gui.GuiOptions,*,field_994_a,*,*,*,screenTitle,"The title string that is displayed in the top-center of the screen."
net.minecraft.src.gui.GuiOptions,*,field_995_i,*,*,*,options,"Reference to the net.minecraft.src.GameSettings object."
net.minecraft.src.gui.GuiUnused,*,field_998_h,*,*,*,message2,"Unused class. Would contain a message drawn to the center of the screen."
net.minecraft.src.gui.GuiEditSign,*,field_999_a,*,*,*,screenTitle,"The title string that is displayed in the top-center of the screen."
net.minecraft.src.GameSettings,*,field_1571_n,*,*,*,keyBindJump,"*"
Render,*,field_203_d,*,*,*,unusedRenderBlocks,"*"
RenderItem,*,field_200_e,*,*,*,random,"The RNG used in RenderItem (for bobbing itemstacks on the ground)"
RenderItem,*,field_201_d,*,*,*,renderBlocks,"*"
RenderPlayer,*,field_206_i,*,*,*,armorFilenamePrefix,"*"
RenderSlime,*,field_205_f,*,*,*,scaleAmount,""
RenderBlocks,*,field_1774_c,*,*,*,flipTexture,"Set to true if the texture should be flipped horizontally during render*Face"
net.minecraft.src.datatype.Vec3D,*,field_1775_b,*,*,*,yCoord,"Y coordinate of net.minecraft.src.datatype.Vec3D"
net.minecraft.src.datatype.Vec3D,*,field_1776_a,*,*,*,xCoord,"X coordinate of net.minecraft.src.datatype.Vec3D"
net.minecraft.src.datatype.Vec3D,*,field_1777_e,*,*,*,nextVector,"Next empty index in the vectorList. We don't ever seem to remove vectors from the list, however."
net.minecraft.src.OpenGlCapsChecker,*,field_1770_a,*,*,*,tryCheckOcclusionCapable,"Whether or not we should try to check occlusion - defaults to false and is never changed in 1.2.2."
RenderBlocks,*,field_1771_b,*,*,*,overrideBlockTexture,"If set to >=0, all block faces will be rendered using this texture index"
RenderBlocks,*,field_1772_a,*,*,*,blockAccess,"The net.minecraft.src.IBlockAccess used by this instance of RenderBlocks"
RenderBlocks,*,field_1773_d,*,*,*,renderAllFaces,"If true, renders all faces on all blocks rather than using the logic in net.minecraft.src.Block.shouldSideBeRendered.  Unused."
net.minecraft.src.datatype.Vec3D,*,field_1778_d,*,*,*,vectorList,"ArrayList of all created vectors"
net.minecraft.src.datatype.Vec3D,*,field_1779_c,*,*,*,zCoord,"Z coordinate of net.minecraft.src.datatype.Vec3D"
net.minecraft.src.MovementInputFromOptions,*,field_1178_g,*,*,*,gameSettings,"*"
net.minecraft.src.MovementInputFromOptions,*,field_1179_f,*,*,*,movementKeyStates,"*"
net.minecraft.src.MovementInput,*,field_1176_d,*,*,*,jump,"*"
net.minecraft.src.MovementInput,*,field_1174_a,*,*,*,moveStrafe,"The speed at which the player is strafing. Postive numbers to the left and negative to the right."
net.minecraft.src.MovementInput,*,field_1175_e,*,*,*,sneak,"*"
net.minecraft.src.datatype.MovingObjectPosition,*,field_1172_c,*,*,*,blockY,"y coordinate of the block ray traced against"
net.minecraft.src.MovementInput,*,field_1173_b,*,*,*,moveForward,"The speed at which the player is moving forward. Negative numbers will move backwards."
net.minecraft.src.datatype.MovingObjectPosition,*,field_1170_e,*,*,*,sideHit,"Which side was hit. If its -1 then it went the full length of the ray trace."
net.minecraft.src.datatype.MovingObjectPosition,*,field_1171_d,*,*,*,blockZ,"z coordinate of the block ray traced against"
net.minecraft.src.entity.EntityPlayer,*,field_9369_j,*,*,*,isSwinging,"Whether the player is swinging the current item in their hand."
net.minecraft.src.entity.EntityPlayer,*,field_9368_k,*,*,*,swingProgressInt,"*"
net.minecraft.src.model.ModelRenderer,*,field_1396_o,*,*,*,displayList,"The GL display list rendered by the net.minecraft.src.Tessellator for this model"
net.minecraft.src.model.ModelRenderer,*,field_1397_n,*,*,*,compiled,"*"
net.minecraft.src.rendering.EntityRenderer,*,field_1395_a,*,*,*,itemRenderer,""
net.minecraft.src.gui.GuiEditSign,*,field_1002_h,*,*,*,entitySign,"Reference to the sign object."
net.minecraft.src.LoadingScreenRenderer,*,field_1003_b,*,*,*,mc,"A reference to the net.minecraft.client.Minecraft object."
net.minecraft.src.gui.GuiEditSign,*,field_1000_j,*,*,*,editLine,"The number of the line that is being edited."
net.minecraft.src.GameSettings,*,field_1558_z,*,*,*,DIFFICULTY_LEVELS,"Constant containing an array of the possible difficulty levels."
net.minecraft.src.GameSettings,*,field_1559_y,*,*,*,RENDER_DISTANCES,"Constant containing an array of the possible view distances."
net.minecraft.src.Path,*,field_1555_b,*,*,*,count,"The number of points in this path"
net.minecraft.src.RedstoneUpdateInfo,*,field_1008_b,*,*,*,y,"*"
net.minecraft.src.RedstoneUpdateInfo,*,field_1009_a,*,*,*,x,"*"
net.minecraft.src.entity.TileEntityRenderer,*,field_1550_e,*,*,*,renderEngine,"The RenderEngine instance used by the net.minecraft.src.entity.TileEntityRenderer"
net.minecraft.src.entity.TileEntityRenderer,*,field_1551_d,*,*,*,staticPlayerZ,"The player's current Z position (same as playerZ)"
net.minecraft.src.entity.TileEntityRenderer,*,field_1552_c,*,*,*,staticPlayerY,"The player's current Y position (same as playerY)"
